TIME;AGE;2023;2024;2025
Belgium;Less than 25 years;15,88;17,25;17,6
Belgium;From 25 to 74 years;4,61;4,65;5,07
Bulgaria;Less than 25 years;12,12;12,3;12,99
Bulgaria;From 25 to 74 years;4,02;3,83;3,19
Czechia;Less than 25 years;8,66;9,41;10,44
Czechia;From 25 to 74 years;2,28;2,37;2,43
Denmark;Less than 25 years;11,48;14,59;13,45
Denmark;From 25 to 74 years;4,03;4,68;4,93
Germany;Less than 25 years;5,83;6,62;6,84
Germany;From 25 to 74 years;2,76;3,03;3,37
Estonia;Less than 25 years;17,35;19,43;20,51
Estonia;From 25 to 74 years;5,51;6,59;6,27
Ireland;Less than 25 years;10,65;10,64;12,33
Ireland;From 25 to 74 years;3,38;3,37;3,71
Greece;Less than 25 years;26,74;22,28;18,88
Greece;From 25 to 74 years;10,12;9,46;8,2
Spain;Less than 25 years;28,67;26,54;24,87
Spain;From 25 to 74 years;10,93;10,17;9,37
France;Less than 25 years;17,16;18,63;18,84
France;From 25 to 74 years;6,13;6,04;6,26
Croatia;Less than 25 years;18,45;16,98;17,68
Croatia;From 25 to 74 years;5,11;4,28;3,86
Italy;Less than 25 years;22,77;20,36;20,33
Italy;From 25 to 74 years;6,7;5,73;4,05
Cyprus;Less than 25 years;16,65;12,93;12,7
Cyprus;From 25 to 74 years;5,08;4,32;3,9
Latvia;Less than 25 years;12,45;13,41;14,01
Latvia;From 25 to 74 years;6,08;6,43;6,43
Lithuania;Less than 25 years;13,7;16,12;13,98
Lithuania;From 25 to 74 years;6,38;6,51;6,18
Luxembourg;Less than 25 years;18,52;21,45;18,25
Luxembourg;From 25 to 74 years;4,15;5,03;5,66
Hungary;Less than 25 years;12,91;15,36;13,93
Hungary;From 25 to 74 years;3,5;3,64;3,74
Malta;Less than 25 years;9,26;9,08;9,58
Malta;From 25 to 74 years;2,87;2,61;2,38
Netherlands;Less than 25 years;8,23;8,68;8,83
Netherlands;From 25 to 74 years;2,53;2,58;2,82
Austria;Less than 25 years;10,4;10,25;11,44
Austria;From 25 to 74 years;4,44;4,57;4,98
Poland;Less than 25 years;11,41;10,9;12,51
Poland;From 25 to 74 years;2,23;2,35;2,52
Portugal;Less than 25 years;20,51;21,79;19,38
Portugal;From 25 to 74 years;5,5;5,32;5,07
Romania;Less than 25 years;21,83;23,9;18,8
Romania;From 25 to 74 years;4,55;4,22;4,76
Slovenia;Less than 25 years;9,83;10,75;13,7
Slovenia;From 25 to 74 years;3,15;3,1;3,25
Slovakia;Less than 25 years;19,79;19,23;15,68
Slovakia;From 25 to 74 years;5,06;4,62;4,91
Finland;Less than 25 years;16,17;18,68;21,9
Finland;From 25 to 74 years;6,04;7,06;8,11
Sweden;Less than 25 years;21,74;23,99;24,25
Sweden;From 25 to 74 years;5,75;6,24;6,73
Iceland;Less than 25 years;8,18;8,56;7,83
Iceland;From 25 to 74 years;2,63;2,51;2,93
Norway;Less than 25 years;10,93;12,04;14,11
Norway;From 25 to 74 years;2,36;2,66;2,84
Switzerland;Less than 25 years;7,88;8,23;6,4
Switzerland;From 25 to 74 years;3,53;3,85;3,2
