COUNTRY;2021;2023;2024;2025
Belgium;10,32;13,81;24,71;34,54
Bulgaria;3,29;3,62;6,47;8,55
Czechia;4,46;5,9;11,26;17,6
Denmark;23,89;15,17;27,58;42,03
Germany;10,56;11,55;19,75;25,97
Estonia;2,77;5,19;13,89;23,4
Ireland;7,88;8,01;14,9;19,64
Greece;2,61;3,98;9,81;8,93
Spain;7,67;9,18;11,31;20,27
France;6,67;5,88;9,91;18,16
Croatia;8,74;7,89;11,76;15,19
Italy;6,17;5,05;8,2;16,4
Cyprus;2,59;4,67;7,9;9,27
Latvia;3,72;4,53;8,83;12,21
Lithuania;4,45;4,86;8,76;21,3
Luxembourg;13;14,45;23,73;33,61
Hungary;2,98;3,68;7,41;10,37
Malta;10,16;13,17;17,3;21,56
Netherlands;13,1;14,1;23,06;33,21
Austria;8,83;10,79;20,27;29,95
Poland;2,86;3,67;5,9;8,36
Portugal;7,2;7,86;8,63;11,54
Romania;1,38;1,51;3,07;5,21
Slovenia;11,73;11,37;20,89;21,61
Slovakia;5,19;7,04;10,78;18
Finland;15,79;15,1;24,37;37,82
Sweden;9,92;10,37;25,09;35,04
