NACE;2023;2024;2025
Manufacturing;6,79;10,57;17,27
Electricity, gas, steam and air conditioning supply;18,43;25,68;33,57
"Water supply; sewerage, waste management and remediation activities";5,65;8,38;13,12
Construction;3,2;6,09;10,79
"Wholesale and retail trade; repair of motor vehicles and motorcycles";6,74;12,11;18,62
Transportation and storage;5,26;8,13;11,15
Accommodation and food service activities;3,81;6,09;11,98
Information and communication;29,53;48,72;62,52
Real estate activities;8,5;15,45;24,76
Professional, scientific and technical activities;18,66;30,53;40,43
Administrative ans supoprt service activities;8,33;14,33;19,86
